"","Variable","Importance"
"1","x302_3",0.115876302242661
"2","x374_8",0.0781090425282575
"3","x393_4",0.0731284820453183
"4","x463_1",0.0697607546253908
"5","x313_4",0.0619395702641219
"6","x462_2",0.0598987351459319
"7","x340_7",0.0495733937117178
"8","x566_6",0.041954918748537
"9","x593_1",0.037480240435956
"10","x396_8",0.0357323324710259
"11","x347_1",0.0333885292723512
"12","x304_6",0.0328464305583055
"13","x478_8",0.0306072075902189
"14","x594_1",0.0292762529820099
"15","x305_8",0.0270800882444949
"16","x518_3",0.0231446376834516
"17","x567_8",0.0226392873009224
"18","x568_5",0.0224390210981669
"19","x338_9",0.0192799995909846
"20","x549_5",0.0190914834892203
"21","x571_1",0.0169542106432794
"22","x574_6",0.0144270069141347
"23","x553_4",0.0140671248787443
"24","x371_2",0.0133827370274921
"25","x499_5",0.00943353363115642
"26","x332_9",0.009427325257287
"27","x326_4",0.00940168305424948
"28","x444_7",0.00786134753736696
"29","x336_6",0.00558637879265789
"30","x426_7",0.00550423236004317
"31","x335_3",0.00330492055955544
"32","x588_9",0.00140037837903898
"33","x504_5",0.00114129316473436
"34","x589_5",0.00105463322760855
"35","x331_9",0.000711812508366997
"36","x460_2",0.000505509781319857
"37","x372_6",0.000486079308022993
"38","x410_4",0.000454279098909249
"39","x464_3",0.000394526357779826
"40","x387_1",0.000352636062697756
"41","x460_7",0.000184652279209797
"42","x377_1",0.000141571141681792
"43","x409_8",0.000119868040816728
"44","x383_2",7.91173878157394e-05
"45","x375_9",6.85411723789536e-05
"46","x434_9",6.41043816682344e-05
"47","x388_3",5.65977890905552e-05
"48","x478_1",5.32194138853091e-05
"49","x441_6",3.58900740977383e-05
"50","x480_4",2.69375545054244e-05
"51","x375_4",2.40951718753936e-05
"52","x459_1",2.21646598086894e-05
"53","x407_6",1.75025369822434e-05
"54","x470_6",5.81811569029313e-06
"55","x466_2",6.56775093893334e-07
"56","x412_1",6.56747115371691e-07
"57","x397_3",2.48184795006313e-07
