"","Variable","Importance"
"1","x302_3",0.357239106534927
"2","x463_1",0.0930433346681577
"3","x347_1",0.0701228542806213
"4","x593_1",0.0570571262366667
"5","x374_8",0.0467964848834826
"6","x504_5",0.0445601442065864
"7","x313_4",0.0442493564960122
"8","x480_4",0.0309243353738619
"9","x478_1",0.0304946698369733
"10","x553_4",0.0290837917097825
"11","x462_2",0.0227561509135961
"12","x393_4",0.0210269439579871
"13","x340_7",0.0204747080366702
"14","x566_6",0.0196981397364301
"15","x549_5",0.0150006326525671
"16","x499_5",0.0142895256205744
"17","x574_6",0.0117591354382072
"18","x568_5",0.0109298384224733
"19","x478_8",0.01037377440306
"20","x396_8",0.0099525330788771
"21","x460_7",0.00875482923265177
"22","x567_8",0.00715108375530602
"23","x460_2",0.00673145255829018
"24","x332_9",0.00398303083714991
"25","x304_6",0.00291659429387848
"26","x305_8",0.00262979070884562
"27","x444_7",0.00154927677454527
"28","x518_3",0.00153697371198109
"29","x338_9",0.00136818994910667
"30","x375_4",0.00120277719424456
"31","x397_3",0.00115515937408099
"32","x588_9",0.000799982614483445
"33","x589_5",0.000252830973699884
"34","x426_7",0.000135441534221531
