"","Variable","Importance"
"1","x302_3",0.357142397933437
"2","x463_1",0.0880248858956775
"3","x593_1",0.0593974394983439
"4","x313_4",0.0571876697618758
"5","x374_8",0.0548051123003214
"6","x347_1",0.0501701348323027
"7","x504_5",0.0381227179934436
"8","x478_1",0.030954115298617
"9","x566_6",0.0309263721220099
"10","x480_4",0.0301019365405712
"11","x499_5",0.0283504890958395
"12","x340_7",0.0224591725236929
"13","x460_2",0.0157083011016972
"14","x460_7",0.0155748809192671
"15","x393_4",0.0153769872071848
"16","x549_5",0.0144741818650039
"17","x553_4",0.0138649610839101
"18","x574_6",0.0131282370605964
"19","x462_2",0.0129504670418234
"20","x396_8",0.0111682043231978
"21","x478_8",0.00832854879570817
"22","x568_5",0.00819128444948572
"23","x567_8",0.00560502164798184
"24","x305_8",0.00409555365537414
"25","x444_7",0.0026988698871142
"26","x338_9",0.00259394103786568
"27","x518_3",0.00136860241135701
"28","x441_6",0.00135591508527458
"29","x588_9",0.00121327090675906
"30","x399_5",0.00119214692895657
"31","x464_3",0.00117742191884329
"32","x304_6",0.00105039242086791
"33","x470_6",0.000968460909846842
"34","x426_7",0.000271905545751475
